customerid,bank_name_clients,age,state,age_interval
8a858e135cb22031015cbafc76964ebd,GT Bank,49,Lagos,41-61
8a858efd5ca70688015cabd1f1e94b55,GT Bank,31,Lagos,26-35
8a858e785acd3412015acd48f4920d04,GT Bank,40,Other,36-40
8a858f045bc9690c015bca251e9a4e95,GT Bank,44,Lagos,41-61
8a858ea05a859123015a8892914d15b7,Multinational Banks,32,Lagos,26-35
8a858f275c451af5015c546a50ce55ed,GT Bank,36,Other,36-40
8a858f405d13c45f015d13dd93ec0c1c,Multinational Banks,30,Lagos,26-35
8a858f735c161bda015c164d86632026,Multinational Banks,57,Lagos,41-61
8a858f2a5ce989dd015ce9fc24b1474b,Multinational Banks,28,Other,26-35
8a858f3a5c10828d015c109746d20aee,Multinational Banks,52,Other,41-61
8a858fb4563228d201564fd7519f22a8,Multinational Banks,28,Lagos,26-35
8a858e9d59e0997b0159eae2e4fa7611,Multinational Banks,34,Lagos,26-35
8a858f955a61ad4e015a69ee1edd0d3d,GT Bank,36,Lagos,36-40
8a858ff25a6a19ee015a6abff5ed659c,Multinational Banks,34,Other,26-35
8a858e6c5c88d145015c894de1a91c5c,GT Bank,34,Other,26-35
8a858eb45876dcc501587dae11f2283e,Multinational Banks,33,Other,26-35
8a858f2f54e28d530154ecdd303004fa,Multinational Banks,39,Lagos,36-40
8a858fef570f30e501571fd446d44c81,GT Bank,35,Other,26-35
8a858f6c570f2d660157238b0c4a1bdd,Multinational Banks,32,Other,26-35
8a85893d542e18bc01542e37365c120a,Multinational Banks,34,Other,26-35
8a8588f35438fe12015444567666018e,Multinational Banks,38,Other,36-40
8a858e045cd5b1d6015cd9c070a212a5,Multinational Banks,37,Other,36-40
8a858e2155defefd0155e12953ee00a1,Multinational Banks,33,Other,26-35
8a858e4b5a7f868b015a80f3822d505b,GT Bank,35,Lagos,26-35
8a858f0056b7cf8e0156bbeefc4933cc,Multinational Banks,41,Lagos,41-61
8a858f0e5a6171ba015a648137c361bc,GT Bank,29,Lagos,26-35
8a858f125c5f88b1015c603d2810428c,GT Bank,38,Other,36-40
8a858ee75a6156c0015a635f394a5f79,Multinational Banks,40,Other,36-40
8a858eed5af07cc4015af10da7565173,GT Bank,46,Lagos,41-61
8a858f445d41ebbe015d50c105334acc,GT Bank,36,Lagos,36-40
8a858f285d3ca5c4015d3cbb1f94073a,GT Bank,45,Other,41-61
8a858f6c5cac8f53015cafeb15141be1,GT Bank,30,Lagos,26-35
8a858f675c1c43bc015c2049f2d20224,Multinational Banks,46,Lagos,41-61
8a858f7e564ad338015654d3a5c242a5,GT Bank,34,Other,26-35
8a858e165b90faf9015b9a873738471e,Multinational Banks,35,Other,26-35
