systemloanid,loannumber,loanamount,termdays,interest,loan_interval,interest_interval,good_bad_flag,avg_loanamount,avg_paym_span_hrs,avg_active_span_days,avg_interest,max_loannumber,bank_name_clients,age,age_interval,state,customerid
continuous,0-4 +4,continuous,30 Other,continuous,10000 mas\ de\ 10000,3000 mas\ de\ 3000 menos\ de\ 3000,Bad Good,continuous,continuous,continuous,continuous,continuous,GT\ Bank Multinational\ Banks,continuous,26-35 36-40 41-61,Lagos Other,string
,,,,,,,,,,,,,,,,,meta
301971032.0,0-4,10000.0,30,3000.0,10000,3000,Bad,10000.0,0.0,33.0,3000.0,1.0,Multinational Banks,36.0,36-40,Lagos,8a858fbd5ad1feb0015ad209895209a5
301961091.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,13.0,3.0,3000.0,1.0,GT Bank,41.0,41-61,Lagos,8a858e3c5cac9fcc015cacb7b97a0977
301964205.0,+4,20000.0,30,3000.0,mas de 10000,3000,Good,15000.0,15.166666666666666,23.33333333333333,3133.333333333333,6.0,Multinational Banks,34.0,26-35,Other,8a858ee159de9b420159dee292301739
301973211.0,0-4,20000.0,30,4500.0,mas de 10000,mas de 3000,Good,10000.0,13.666666666666666,25.33333333333333,3000.0,3.0,GT Bank,47.0,41-61,Other,8a858f8a5a424041015a4673217f2c18
301960094.0,+4,20000.0,30,4500.0,mas de 10000,mas de 3000,Good,12727.272727272728,11.636363636363637,14.0,1559.090909090909,11.0,Multinational Banks,27.0,26-35,Other,8a858e9e579558b6015795d6a68f473c
301999663.0,+4,20000.0,30,4500.0,mas de 10000,mas de 3000,Good,14000.0,13.6,26.0,3600.0,5.0,Multinational Banks,44.0,41-61,Lagos,8a858e0d5aa8e240015aa8fb5bc5165f
301959452.0,+4,20000.0,30,4500.0,mas de 10000,mas de 3000,Good,11250.0,13.5,19.25,2296.875,4.0,GT Bank,43.0,41-61,Other,8a858faf5a28ca05015a2952bc3f2e86
301963473.0,+4,40000.0,30,4000.0,mas de 10000,mas de 3000,Bad,28571.42857142857,14.0,21.285714285714285,3275.0,14.0,Multinational Banks,42.0,41-61,Other,8a858e0256b781d80156c1a32a2f3369
301994296.0,0-4,10000.0,30,3000.0,10000,3000,Bad,10000.0,20.0,13.0,3000.0,1.0,Multinational Banks,33.0,26-35,Other,8a858f2c58dc6e680158e4e62c3b0ccd
301971437.0,+4,30000.0,30,4500.0,mas de 10000,mas de 3000,Good,21250.0,11.25,20.75,3000.0,8.0,Multinational Banks,41.0,41-61,Other,8a858e9b560bbd6301560bd6568f0312
301975807.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,8.0,13.0,3000.0,1.0,Multinational Banks,41.0,41-61,Other,8a858e6c5c88d145015c9817fa35283d
301967943.0,+4,30000.0,Other,9000.0,mas de 10000,mas de 3000,Good,14285.714285714286,10.857142857142858,19.571428571428573,2371.428571428572,7.0,Multinational Banks,29.0,26-35,Lagos,8a858e3c5853733801586a30c5c04575
301995427.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,6.0,14.0,1500.0,1.0,Multinational Banks,42.0,41-61,Lagos,8a858f265b5c418f015b5c58effa1a88
301965687.0,+4,40000.0,30,3500.0,mas de 10000,mas de 3000,Good,20000.0,14.333333333333334,18.33333333333333,3241.6666666666665,7.0,GT Bank,35.0,26-35,Other,8a858fd3552c75620155484049c35a90
301967780.0,+4,10000.0,Other,1500.0,10000,menos de 3000,Bad,10000.0,15.25,15.25,1500.0,4.0,Multinational Banks,38.0,36-40,Other,8a858ff259d1429e0159d2d0194c4b8e
301967450.0,0-4,10000.0,Other,1500.0,10000,menos de 3000,Bad,10000.0,12.5,23.5,2250.0,2.0,Multinational Banks,30.0,26-35,Lagos,8a858f105a4ed440015a5ba5ab1f3ca0
301986620.0,0-4,10000.0,30,3000.0,10000,3000,Bad,10000.0,11.5,31.5,3000.0,2.0,GT Bank,29.0,26-35,Other,8a858e5a5a0477db015a100e94100351
301974387.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,22.0,44.0,3000.0,1.0,Multinational Banks,43.0,41-61,Other,8a858f665c45930d015c490f9e137383
301996158.0,0-4,10000.0,Other,1500.0,10000,menos de 3000,Good,10000.0,0.0,27.0,3000.0,1.0,Multinational Banks,34.0,26-35,Other,8a858fec5bd3dede015bd4099d5f1c53
302001121.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,13.0,28.0,3000.0,1.0,GT Bank,54.0,41-61,Other,8a858fa05cf48427015cf841cd9a7973
301983406.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,20.0,7.0,1500.0,1.0,Multinational Banks,30.0,26-35,Lagos,8a858e335d1dd902015d2c236db91aa3
301987380.0,+4,40000.0,30,4000.0,mas de 10000,mas de 3000,Good,27272.727272727272,12.454545454545457,30.09090909090909,4063.636363636364,11.0,Multinational Banks,39.0,36-40,Other,8a858f0456511c9401565eca240c4b6c
301963711.0,+4,15000.0,30,2250.0,mas de 10000,menos de 3000,Good,12000.0,10.0,22.5,2056.25,8.0,Multinational Banks,44.0,41-61,Lagos,8a8589045384bd8301539e134b745638
301995309.0,0-4,10000.0,Other,1500.0,10000,menos de 3000,Good,10000.0,9.0,8.0,1500.0,1.0,Multinational Banks,43.0,41-61,Lagos,8a858f585cf9d48b015cfd80919c18ed
301978661.0,0-4,10000.0,30,3000.0,10000,3000,Bad,10000.0,9.0,17.0,1500.0,2.0,GT Bank,36.0,36-40,Other,8a858f335c8d9723015c8da0ed2b04bf
301978515.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,20.0,24.0,3000.0,1.0,Multinational Banks,37.0,36-40,Lagos,8a858eda5c8863ff015c9b7f6a0d0803
301981252.0,+4,50000.0,Other,5000.0,mas de 10000,mas de 3000,Bad,25454.545454545456,14.090909090909092,32.72727272727273,5227.272727272727,11.0,GT Bank,29.0,26-35,Lagos,8a858ff455a09f5a0155aaa450751528
301974543.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,12.0,13.0,3000.0,1.0,Multinational Banks,54.0,41-61,Other,8a858f375cef1cbc015cf034009e7436
301966922.0,0-4,10000.0,Other,1500.0,10000,menos de 3000,Bad,10000.0,13.333333333333334,16.666666666666668,2000.0,3.0,Multinational Banks,38.0,36-40,Other,8a858fc75b90e6b5015b9acbaac827a2
301983622.0,+4,30000.0,30,4500.0,mas de 10000,mas de 3000,Good,17142.85714285714,12.857142857142858,14.142857142857142,2194.6428571428573,7.0,Multinational Banks,48.0,41-61,Other,8a858f365b2547f3015b2fa36f67322c
301965209.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,10.0,13.0,1500.0,1.0,GT Bank,31.0,26-35,Lagos,8a858ea25bf369e4015bf791083d1be4
301968884.0,+4,10000.0,Other,1500.0,10000,menos de 3000,Bad,10000.0,11.0,18.5,1500.0,9.0,Multinational Banks,46.0,41-61,Other,8a858ee755a0c84a0155a3b5a9ab2308
301988102.0,0-4,10000.0,Other,1500.0,10000,menos de 3000,Good,10000.0,3.0,11.5,1500.0,2.0,Multinational Banks,35.0,26-35,Other,8a858fa95c695f85015c6beb3279647b
301976712.0,+4,20000.0,Other,2250.0,mas de 10000,menos de 3000,Good,13000.0,9.3,20.8,2330.0,10.0,Multinational Banks,35.0,26-35,Lagos,8a858fde580afd48015818eda53830c8
301983951.0,0-4,10000.0,30,2250.0,10000,menos de 3000,Good,10000.0,12.333333333333334,24.666666666666668,3000.0,3.0,Multinational Banks,31.0,26-35,Other,8a858e6d5b62e36f015b6510c8b02ff6
301959368.0,+4,30000.0,Other,9000.0,mas de 10000,mas de 3000,Good,16666.666666666668,12.5,32.5,3650.0,6.0,GT Bank,28.0,26-35,Other,8a858e3d570f30bb0157146c32c418b7
301978269.0,+4,30000.0,Other,9000.0,mas de 10000,mas de 3000,Bad,15625.0,10.25,27.75,3309.375,8.0,GT Bank,29.0,26-35,Other,8a858ee0560bc0770156196630ee2e35
301970718.0,0-4,10000.0,30,2500.0,10000,menos de 3000,Good,13333.333333333334,18.33333333333333,24.33333333333333,2833.333333333333,3.0,Multinational Banks,42.0,41-61,Lagos,8a858f565b683b56015b6e9302a77dd1
301987403.0,+4,20000.0,Other,2250.0,mas de 10000,menos de 3000,Good,12500.0,12.25,16.25,2062.5,4.0,Multinational Banks,30.0,26-35,Other,8a858ec25a4d1d16015a5004af0d4d20
301971915.0,0-4,10000.0,30,3000.0,10000,3000,Good,10000.0,13.0,10.0,3000.0,2.0,Multinational Banks,41.0,41-61,Other,8a858e125c358780015c35aad25310ef
301979923.0,0-4,20000.0,30,4500.0,mas de 10000,mas de 3000,Good,10000.0,20.5,28.5,3000.0,2.0,Multinational Banks,39.0,36-40,Other,8a858e495bf8527e015bf8e8db823e98
301976414.0,+4,40000.0,Other,8000.0,mas de 10000,mas de 3000,Good,18750.0,9.125,20.25,3481.25,8.0,GT Bank,36.0,36-40,Lagos,8a858ed158f3044d0158fe42a7e14997
