avg_active_span_days,avg_interest,termdays_Other,interest_interval_menos de 3000,max_loannumber,loanamount,age,interest_interval_3000,loannumber_0-4,avg_paym_span_hrs,avg_loanamount
33.0,3000.0,0,0,1.0,10000.0,36.0,1,1,0.0,10000.0
3.0,3000.0,0,0,1.0,10000.0,41.0,1,1,13.0,10000.0
23.33333333333333,3133.333333333333,0,0,6.0,20000.0,34.0,1,0,15.166666666666666,15000.0
25.33333333333333,3000.0,0,0,3.0,20000.0,47.0,0,1,13.666666666666666,10000.0
14.0,1559.090909090909,0,0,11.0,20000.0,27.0,0,0,11.636363636363637,12727.272727272728
26.0,3600.0,0,0,5.0,20000.0,44.0,0,0,13.6,14000.0
19.25,2296.875,0,0,4.0,20000.0,43.0,0,0,13.5,11250.0
21.285714285714285,3275.0,0,0,14.0,40000.0,42.0,0,0,14.0,28571.42857142857
13.0,3000.0,0,0,1.0,10000.0,33.0,1,1,20.0,10000.0
20.75,3000.0,0,0,8.0,30000.0,41.0,0,0,11.25,21250.0
13.0,3000.0,0,0,1.0,10000.0,41.0,1,1,8.0,10000.0
19.571428571428573,2371.428571428572,1,0,7.0,30000.0,29.0,0,0,10.857142857142858,14285.714285714286
14.0,1500.0,0,0,1.0,10000.0,42.0,1,1,6.0,10000.0
18.33333333333333,3241.6666666666665,0,0,7.0,40000.0,35.0,0,0,14.333333333333334,20000.0
15.25,1500.0,1,1,4.0,10000.0,38.0,0,0,15.25,10000.0
23.5,2250.0,1,1,2.0,10000.0,30.0,0,1,12.5,10000.0
31.5,3000.0,0,0,2.0,10000.0,29.0,1,1,11.5,10000.0
44.0,3000.0,0,0,1.0,10000.0,43.0,1,1,22.0,10000.0
27.0,3000.0,1,1,1.0,10000.0,34.0,0,1,0.0,10000.0
28.0,3000.0,0,0,1.0,10000.0,54.0,1,1,13.0,10000.0
7.0,1500.0,0,0,1.0,10000.0,30.0,1,1,20.0,10000.0
30.09090909090909,4063.636363636364,0,0,11.0,40000.0,39.0,0,0,12.454545454545457,27272.727272727272
22.5,2056.25,0,1,8.0,15000.0,44.0,0,0,10.0,12000.0
8.0,1500.0,1,1,1.0,10000.0,43.0,0,1,9.0,10000.0
17.0,1500.0,0,0,2.0,10000.0,36.0,1,1,9.0,10000.0
24.0,3000.0,0,0,1.0,10000.0,37.0,1,1,20.0,10000.0
32.72727272727273,5227.272727272727,1,0,11.0,50000.0,29.0,0,0,14.090909090909092,25454.545454545456
13.0,3000.0,0,0,1.0,10000.0,54.0,1,1,12.0,10000.0
16.666666666666668,2000.0,1,1,3.0,10000.0,38.0,0,1,13.333333333333334,10000.0
14.142857142857142,2194.6428571428573,0,0,7.0,30000.0,48.0,0,0,12.857142857142858,17142.85714285714
13.0,1500.0,0,0,1.0,10000.0,31.0,1,1,10.0,10000.0
18.5,1500.0,1,1,9.0,10000.0,46.0,0,0,11.0,10000.0
11.5,1500.0,1,1,2.0,10000.0,35.0,0,1,3.0,10000.0
