loanamount,interest,avg_loanamount,avg_paym_span_hrs,avg_active_span_days,avg_interest,max_loannumber,age,interest_interval_3000,interest_interval_mas de 3000,interest_interval_menos de 3000,bank_name_clients_Multinational Banks,termdays_Other,age_interval_26-35,age_interval_36-40,age_interval_41-61,state_Other,loan_interval_mas de 10000,loannumber_0-4,cluster
10000.0,3000.0,10000.0,0.0,33.0,3000.0,1.0,36.0,1,0,0,1,0,0,1,0,0,0,1,0
10000.0,3000.0,10000.0,13.0,3.0,3000.0,1.0,41.0,1,0,0,0,0,0,0,1,0,0,1,0
20000.0,3000.0,15000.0,15.166666666666666,23.33333333333333,3133.333333333333,6.0,34.0,1,0,0,1,0,1,0,0,1,1,0,0
20000.0,4500.0,10000.0,13.666666666666666,25.33333333333333,3000.0,3.0,47.0,0,1,0,0,0,0,0,1,1,1,1,0
20000.0,4500.0,12727.272727272728,11.636363636363637,14.0,1559.090909090909,11.0,27.0,0,1,0,1,0,1,0,0,1,1,0,0
20000.0,4500.0,14000.0,13.6,26.0,3600.0,5.0,44.0,0,1,0,1,0,0,0,1,0,1,0,0
20000.0,4500.0,11250.0,13.5,19.25,2296.875,4.0,43.0,0,1,0,0,0,0,0,1,1,1,0,0
40000.0,4000.0,28571.42857142857,14.0,21.285714285714285,3275.0,14.0,42.0,0,1,0,1,0,0,0,1,1,1,0,1
10000.0,3000.0,10000.0,20.0,13.0,3000.0,1.0,33.0,1,0,0,1,0,1,0,0,1,0,1,0
30000.0,4500.0,21250.0,11.25,20.75,3000.0,8.0,41.0,0,1,0,1,0,0,0,1,1,1,0,1
10000.0,3000.0,10000.0,8.0,13.0,3000.0,1.0,41.0,1,0,0,1,0,0,0,1,1,0,1,0
30000.0,9000.0,14285.714285714286,10.857142857142858,19.571428571428573,2371.428571428572,7.0,29.0,0,1,0,1,1,1,0,0,0,1,0,1
10000.0,3000.0,10000.0,6.0,14.0,1500.0,1.0,42.0,1,0,0,1,0,0,0,1,0,0,1,0
40000.0,3500.0,20000.0,14.333333333333334,18.33333333333333,3241.6666666666665,7.0,35.0,0,1,0,0,0,1,0,0,1,1,0,1
10000.0,1500.0,10000.0,15.25,15.25,1500.0,4.0,38.0,0,0,1,1,1,0,1,0,1,0,0,0
10000.0,1500.0,10000.0,12.5,23.5,2250.0,2.0,30.0,0,0,1,1,1,1,0,0,0,0,1,0
10000.0,3000.0,10000.0,11.5,31.5,3000.0,2.0,29.0,1,0,0,0,0,1,0,0,1,0,1,0
10000.0,3000.0,10000.0,22.0,44.0,3000.0,1.0,43.0,1,0,0,1,0,0,0,1,1,0,1,0
10000.0,1500.0,10000.0,0.0,27.0,3000.0,1.0,34.0,0,0,1,1,1,1,0,0,1,0,1,0
10000.0,3000.0,10000.0,13.0,28.0,3000.0,1.0,54.0,1,0,0,0,0,0,0,1,1,0,1,0
10000.0,3000.0,10000.0,20.0,7.0,1500.0,1.0,30.0,1,0,0,1,0,1,0,0,0,0,1,0
40000.0,4000.0,27272.727272727272,12.454545454545457,30.09090909090909,4063.636363636364,11.0,39.0,0,1,0,1,0,0,1,0,1,1,0,1
15000.0,2250.0,12000.0,10.0,22.5,2056.25,8.0,44.0,0,0,1,1,0,0,0,1,0,1,0,0
10000.0,1500.0,10000.0,9.0,8.0,1500.0,1.0,43.0,0,0,1,1,1,0,0,1,0,0,1,0
10000.0,3000.0,10000.0,9.0,17.0,1500.0,2.0,36.0,1,0,0,0,0,0,1,0,1,0,1,0
10000.0,3000.0,10000.0,20.0,24.0,3000.0,1.0,37.0,1,0,0,1,0,0,1,0,0,0,1,0
50000.0,5000.0,25454.545454545456,14.090909090909092,32.72727272727273,5227.272727272727,11.0,29.0,0,1,0,0,1,1,0,0,0,1,0,1
10000.0,3000.0,10000.0,12.0,13.0,3000.0,1.0,54.0,1,0,0,1,0,0,0,1,1,0,1,0
10000.0,1500.0,10000.0,13.333333333333334,16.666666666666668,2000.0,3.0,38.0,0,0,1,1,1,0,1,0,1,0,1,0
30000.0,4500.0,17142.85714285714,12.857142857142858,14.142857142857142,2194.6428571428573,7.0,48.0,0,1,0,1,0,0,0,1,1,1,0,1
10000.0,3000.0,10000.0,10.0,13.0,1500.0,1.0,31.0,1,0,0,0,0,1,0,0,0,0,1,0
10000.0,1500.0,10000.0,11.0,18.5,1500.0,9.0,46.0,0,0,1,1,1,0,0,1,1,0,0,0
10000.0,1500.0,10000.0,3.0,11.5,1500.0,2.0,35.0,0,0,1,1,1,1,0,0,1,0,1,0
20000.0,2250.0,13000.0,9.3,20.8,2330.0,10.0,35.0,0,0,1,1,1,1,0,0,0,1,0,0
10000.0,2250.0,10000.0,12.333333333333334,24.666666666666668,3000.0,3.0,31.0,0,0,1,1,0,1,0,0,1,0,1,0
30000.0,9000.0,16666.666666666668,12.5,32.5,3650.0,6.0,28.0,0,1,0,0,1,1,0,0,1,1,0,1
30000.0,9000.0,15625.0,10.25,27.75,3309.375,8.0,29.0,0,1,0,0,1,1,0,0,1,1,0,1
10000.0,2500.0,13333.333333333334,18.33333333333333,24.33333333333333,2833.333333333333,3.0,42.0,0,0,1,1,0,0,0,1,0,0,1,0
20000.0,2250.0,12500.0,12.25,16.25,2062.5,4.0,30.0,0,0,1,1,1,1,0,0,1,1,0,0
10000.0,3000.0,10000.0,13.0,10.0,3000.0,2.0,41.0,1,0,0,1,0,0,0,1,1,0,1,0
20000.0,4500.0,10000.0,20.5,28.5,3000.0,2.0,39.0,0,1,0,1,0,0,1,0,1,1,1,0
40000.0,8000.0,18750.0,9.125,20.25,3481.25,8.0,36.0,0,1,0,0,1,0,1,0,0,1,0,1
10000.0,3000.0,10000.0,9.666666666666666,29.33333333333333,3000.0,3.0,47.0,1,0,0,1,0,0,0,1,1,0,1,0
40000.0,4000.0,30666.666666666668,13.266666666666667,18.066666666666663,4293.333333333333,15.0,45.0,0,1,0,0,0,0,0,1,0,1,0,1
10000.0,1500.0,10000.0,17.0,11.5,1500.0,2.0,40.0,0,0,1,0,1,0,1,0,1,0,1,0
40000.0,4000.0,20000.0,11.0,20.90909090909091,2954.5454545454545,11.0,32.0,0,1,0,1,0,1,0,0,1,1,0,1
10000.0,1125.0,10000.0,14.0,9.666666666666666,2500.0,3.0,37.0,0,0,1,1,1,0,1,0,1,0,1,0
10000.0,3000.0,10000.0,14.5,14.5,3000.0,2.0,37.0,1,0,0,1,0,0,1,0,1,0,1,0
10000.0,3000.0,10000.0,19.0,50.0,3000.0,1.0,39.0,1,0,0,1,0,0,1,0,1,0,1,0
10000.0,2500.0,10000.0,19.0,36.0,3000.0,1.0,36.0,0,0,1,0,0,0,1,0,0,0,1,0
10000.0,3000.0,10000.0,6.0,29.0,3000.0,1.0,29.0,1,0,0,1,0,1,0,0,0,0,1,0
10000.0,3000.0,10000.0,9.0,23.0,3000.0,1.0,31.0,1,0,0,1,0,1,0,0,0,0,1,0
10000.0,3000.0,10000.0,4.0,31.0,3000.0,1.0,33.0,1,0,0,0,0,1,0,0,0,0,1,0
10000.0,3000.0,10000.0,10.0,9.0,1500.0,1.0,35.0,1,0,0,0,0,1,0,0,1,0,1,0
20000.0,4500.0,12500.0,14.0,13.5,2625.0,4.0,35.0,0,1,0,1,0,1,0,0,0,1,0,0
10000.0,1500.0,10000.0,15.0,14.0,1500.0,1.0,29.0,0,0,1,0,1,1,0,0,1,0,1,0
10000.0,3000.0,10000.0,14.5,27.5,3000.0,2.0,46.0,1,0,0,0,0,0,0,1,0,0,1,0
30000.0,3000.0,18333.33333333333,11.11111111111111,19.77777777777778,3216.6666666666665,9.0,27.0,1,0,0,1,0,1,0,0,1,1,0,1
20000.0,4500.0,11000.0,11.4,32.3,2630.0,12.0,34.0,0,1,0,0,0,1,0,0,0,1,0,0
10000.0,3000.0,10000.0,10.0,22.0,3000.0,1.0,42.0,1,0,0,0,0,0,0,1,0,0,1,0
10000.0,1500.0,10000.0,13.333333333333334,19.33333333333333,1500.0,3.0,43.0,0,0,1,0,1,0,0,1,0,0,1,0
30000.0,4500.0,15000.0,0.8333333333333334,19.5,2508.333333333333,6.0,54.0,0,1,0,1,0,0,0,1,1,1,0,1
20000.0,4500.0,12500.0,12.5,27.75,3375.0,4.0,41.0,0,1,0,0,0,0,0,1,0,1,0,0
15000.0,1687.5,10000.0,21.0,15.666666666666666,2000.0,3.0,37.0,0,0,1,0,1,0,1,0,1,1,1,0
10000.0,3000.0,10000.0,13.666666666666666,27.33333333333333,2500.0,3.0,41.0,1,0,0,0,0,0,0,1,1,0,1,0
10000.0,2500.0,10000.0,5.0,25.0,3000.0,1.0,31.0,0,0,1,1,0,1,0,0,0,0,1,0
30000.0,4500.0,14285.714285714286,13.571428571428571,24.857142857142858,3442.8571428571427,7.0,30.0,0,1,0,0,0,1,0,0,1,1,0,1
10000.0,3000.0,10000.0,17.0,15.0,1500.0,1.0,49.0,1,0,0,0,0,0,0,1,0,0,1,0
10000.0,3000.0,10000.0,4.0,17.0,1500.0,1.0,37.0,1,0,0,1,0,0,1,0,1,0,1,0
20000.0,4500.0,11875.0,13.875,20.25,2381.25,8.0,28.0,0,1,0,1,0,1,0,0,0,1,0,0
30000.0,4500.0,21250.0,10.125,25.125,3237.5,8.0,34.0,0,1,0,0,0,1,0,0,0,1,0,1
