customerid,bank_account_type,bank_name_clients,employment_status_clients,age,state
8a858e135cb22031015cbafc76964ebd,Savings,GT Bank,,41-61,Lagos
8a858e275c7ea5ec015c82482d7c3996,Savings,National Banks,Permanent,36-40,Other
8a858e5b5bd99460015bdc95cd485634,Savings,National Banks,,26-35,Other
8a858efd5ca70688015cabd1f1e94b55,Savings,GT Bank,Permanent,26-35,Lagos
8a858e785acd3412015acd48f4920d04,Savings,GT Bank,Permanent,36-40,Other
8a858f045bc9690c015bca251e9a4e95,Savings,GT Bank,Permanent,41-61,Lagos
8a858ea05a859123015a8892914d15b7,Savings,Multinational Banks,Permanent,26-35,Lagos
8a858f275c451af5015c546a50ce55ed,Savings,GT Bank,Permanent,36-40,Other
8a858f405d13c45f015d13dd93ec0c1c,Savings,Multinational Banks,Permanent,26-35,Lagos
8a858f735c161bda015c164d86632026,Savings,Multinational Banks,Permanent,41-61,Lagos
8a858f2a5ce989dd015ce9fc24b1474b,Savings,Multinational Banks,,26-35,Other
8a858f3a5c10828d015c109746d20aee,Savings,Multinational Banks,Permanent,41-61,Other
8a858fb4563228d201564fd7519f22a8,Other,Multinational Banks,Other,26-35,Lagos
8a858e9d59e0997b0159eae2e4fa7611,Savings,Multinational Banks,,26-35,Lagos
8a858f955a61ad4e015a69ee1edd0d3d,Savings,GT Bank,Permanent,36-40,Lagos
8a858ff25a6a19ee015a6abff5ed659c,Savings,Multinational Banks,Permanent,26-35,Other
8a858e6c5c88d145015c894de1a91c5c,Savings,GT Bank,Permanent,26-35,Other
8a858eb45876dcc501587dae11f2283e,Savings,Multinational Banks,Permanent,26-35,Other
8a858f2f54e28d530154ecdd303004fa,Savings,Multinational Banks,Permanent,36-40,Lagos
8a858fef570f30e501571fd446d44c81,Savings,GT Bank,Other,26-35,Other
8a858f6c570f2d660157238b0c4a1bdd,Other,Multinational Banks,Other,26-35,Other
8a85893d542e18bc01542e37365c120a,Savings,Multinational Banks,Permanent,26-35,Other
8a8588f35438fe12015444567666018e,Other,Multinational Banks,Permanent,36-40,Other
8a858f275c451af5015c49a2c43b5fb2,Savings,National Banks,Permanent,36-40,Lagos
8a858e045cd5b1d6015cd9c070a212a5,Savings,Multinational Banks,,36-40,Other
8a858e2155defefd0155e12953ee00a1,Other,Multinational Banks,Permanent,26-35,Other
8a858e4b5a7f868b015a80f3822d505b,Savings,GT Bank,Permanent,26-35,Lagos
8a858f0056b7cf8e0156bbeefc4933cc,Other,Multinational Banks,Other,41-61,Lagos
8a858f0e5a6171ba015a648137c361bc,Savings,GT Bank,Permanent,26-35,Lagos
8a858f125c5f88b1015c603d2810428c,Savings,GT Bank,Permanent,36-40,Other
8a858ee75a6156c0015a635f394a5f79,Savings,Multinational Banks,Permanent,36-40,Other
8a858eed5af07cc4015af10da7565173,Savings,GT Bank,Permanent,41-61,Lagos
8a858f445d41ebbe015d50c105334acc,Savings,GT Bank,,36-40,Lagos
8a858f285d3ca5c4015d3cbb1f94073a,Other,GT Bank,Permanent,41-61,Other
8a858f225bfdb280015c108bf6f53281,Savings,National Banks,Permanent,26-35,Lagos
8a858f6c5cac8f53015cafeb15141be1,Savings,GT Bank,Permanent,26-35,Lagos
8a858f675c1c43bc015c2049f2d20224,Savings,Multinational Banks,Permanent,41-61,Lagos
8a858f7e564ad338015654d3a5c242a5,Other,GT Bank,Permanent,26-35,Other
8a858e165b90faf9015b9a873738471e,Savings,Multinational Banks,Permanent,26-35,Other
8a858ea4582fcdc80158338316a258e3,Other,Multinational Banks,Permanent,41-61,Other
8a858f3c5c16cadb015c177e274650b9,Savings,Multinational Banks,Permanent,41-61,Other
8a858f2b5bf35819015bf3cc59193622,Savings,GT Bank,Permanent,36-40,Other
8a858ec555f82a230155f92ff37d0b31,Other,Multinational Banks,Other,36-40,Other
8a858f255cb1710a015cb56393f60d1b,Savings,Multinational Banks,Permanent,41-61,Lagos
8a858f6f5b3f095b015b4083532532a0,Savings,Multinational Banks,Permanent,26-35,Lagos
8a858fa257d8223c0157e7e6ce253dd8,Other,Multinational Banks,Permanent,26-35,Other
8a858f335cd0c78e015cd435d7192800,Savings,GT Bank,Permanent,41-61,Other
8a858953548fb0c001549b31ac5f6dda,Other,Multinational Banks,Other,36-40,Lagos
8a858eba5b681df4015b7b63e6ed6a23,Savings,Multinational Banks,Permanent,26-35,Lagos
