customerid;birthdate;EDAD;bank_account_type;longitude_gps;latitude_gps;Columna2;bank_name_clients;bank_branch_clients;employment_status_clients;level_of_education_clients
8a858f305c8dd672015c93b1db645db4;28/08/1976;46;Savings;52.966.283;7.593.965;;Heritage Bank;;Permanent;
8a858f085a477386015a47fb049e49ca;23/06/1978;44;Savings;32.945.126;6.596.602;;UBA;;Permanent;
8a858e6f5cd5e874015cd6f5634c39ad;04/04/1984;38;Savings;85.019.123;77.293.645;;First Bank;;Permanent;
8a858e9d5bfd7037015bfdab79f61305;28/05/1983;39;Savings;33.189.043;66.815.947;;UBA;;Permanent;
8a858fde56eb02280156eb6dafc128ac;29/03/1982;40;Savings;63.546.237;49.490.313;;First Bank;;Self-Employed;
8a858e695775665c015779a1a5cc1192;19/11/1988;34;Other;33.075.583;71.122.136;;Access Bank;;Self-Employed;Post-Graduate
8a858e225c404292015c4e2b42c67bbe;27/05/1986;36;Savings;83.497.458;49.648.378;;First Bank;;Permanent;
8a858fcf5b39c3ba015b3d9f215c3922;11/06/1978;44;Savings;38.929.317;740.814;;GT Bank;;;
8a858edd5c8348c4015c8452bc364cd7;06/02/1982;40;Savings;34.328.698;68.378.745;;Stanbic IBTC;;;
8a858ef25c8393f8015c86783932595b;09/02/1991;31;Savings;75.279.078;64.274.759;;Diamond Bank;;Permanent;
8a858edc5ceea2e6015ceea77c5c0300;20/10/1987;35;Savings;83.398.927;50.284.493;;Diamond Bank;;Permanent;
8a858e5856b7840c0156bb256d6e0e6a;11/01/1991;31;Other;33.099.417;64.612.567;;GT Bank;;Self-Employed;Graduate
8a858e8b5bc9e7e6015bcd7b7ee305b9;25/12/1983;39;Savings;3.484.045;66.280.563;;GT Bank;;Permanent;
8a858e585693982b015698da71ca5342;07/12/1975;47;Other;35.087.161;66.049.272;;Zenith Bank;;Permanent;Graduate
8a858e785c8d9167015c90a6e2c45e08;28/06/1982;40;Savings;83.657.033;4.978.805;;Access Bank;;;
8a8588c2546bf759015471842d602473;17/08/1991;31;Savings;31.941.288;64.901.322;;Access Bank;;Permanent;
8a858ee45b62dadc015b660294b5292e;14/03/1975;47;Savings;32.032.326;67.895.778;;UBA;;Permanent;
8a858ef358d4a48e0158d50224cb12c5;04/04/1966;56;Savings;45.454.831;74.857.329;;Union Bank;;Permanent;
8a858ef85a613c85015a684e546a4e82;12/06/1988;34;Savings;3.911.841;75.298.533;;GT Bank;;Permanent;
8a858ff257048b50015709ffa148518e;18/04/1984;38;Savings;85.124.824;77.172.316;;FCMB;;Self-Employed;
8a858e9b5bcf8546015bcff969fd0f8f;06/09/1991;31;Savings;73.965.198;90.603.053;;First Bank;;Permanent;
8a85888c548fb3d501549593ea277c88;22/03/1970;52;Savings;38.648.583;747.258;;GT Bank;;Permanent;Post-Graduate
8a858ec75c11a07a015c16a2289b4fa7;16/02/1972;50;Savings;32.742.417;64.692.129;;Skye Bank;;Permanent;
8a858ef7597cf4c501597e2416f907aa;25/02/1982;40;Savings;52.167.175;7.266.246;;GT Bank;;Permanent;
8a858ec95afc0922015aff7d927011fb;28/07/1982;40;Savings;32.755.326;64.768.804;;UBA;;Permanent;
8a858ed75732b68101574d1614f23803;28/07/1983;39;Other;33.776.916;65.511.237;;GT Bank;;Permanent;Graduate
8a858ede5ca210f0015ca340de706114;24/07/1985;37;Savings;3.550.017;64.523.255;;GT Bank;;Permanent;
8a858ec655f96b320156071dd95b4be0;25/10/1984;38;Other;34.209.869;64.271.383;;GT Bank;;Permanent;
8a858fa25c120898015c132919e544fc;10/12/1982;40;Savings;724.269;54.380.717;;First Bank;;Permanent;
8a858e135cb22031015cb58116983b37;05/06/1986;36;Savings;7.151.251;44.016.841;;GT Bank;;Permanent;
8a858e2d565657b101565ae54e5638c1;19/05/1985;37;Savings;73.640.029;91.330.687;;Zenith Bank;;Permanent;
8a858e7c588604a4015895a4d8541dea;24/10/1967;55;Savings;38.715.779;73.572.762;;GT Bank;;Permanent;
8a858e395cb1d4d9015cbf8640086398;19/10/1988;34;Savings;74.361.027;89.934.277;;Access Bank;;Permanent;
8a858eb85cef9327015cf30509cf2230;28/06/1988;34;Savings;33.660.777;65.305.167;;GT Bank;;Permanent;
8a858887545183ca015458c977db7bd2;11/06/1985;37;Other;-978.838.954;390.950.713;;GT Bank;;Permanent;
8a858f055b15b8d3015b168707084a4b;06/08/1980;42;Savings;77.133.273;111.164.301;;UBA;;Permanent;
8a858ef25c8393f8015c873e2c443d27;02/09/1973;49;Savings;33.649.574;65.193.411;;FCMB;;Permanent;
8a858e9d5bfd7037015c0dc3a27c6d93;17/08/1984;38;Savings;31.574.133;64.803.767;;GT Bank;;Permanent;
8a858fa5552add5d01554ea9435f677d;29/12/1984;38;Other;75.315.149;64.604.074;;First Bank;;Permanent;
8a858f475c7ea023015c7f69842720ee;19/04/1984;38;Savings;334.723;64.784.683;;GT Bank;;Permanent;
8a858f9d5bd44001015bd4cd7c343311;24/07/1969;53;Savings;36.529.769;64.767.407;;Zenith Bank;;Permanent;
8a858fd3552c756201553571d2fe62e3;24/12/1988;34;Other;56.987.917;58.782.406;;Fidelity Bank;;Self-Employed;Graduate
8a858ffd5c8d343d015c8dbf49dc49d5;26/06/1989;33;Savings;8.908.032;99.259.745;;GT Bank;;Permanent;
8a858fab5cd5e1a7015cd9c3b9ae0f29;25/12/1981;41;Savings;74.351.465;8.990.004;;Zenith Bank;;;
8a858ff9580b881201581e41fa95467b;20/01/1995;27;Other;44.980.234;84.762.051;;GT Bank;;Student;
8a858ed75732b68101574cf214582d48;14/10/1987;35;Other;43.649.614;74.674.308;;First Bank;;Self-Employed;
8a858f1e5cef1d91015cf37f17052b7b;02/06/1982;40;Savings;33.705.799;66.041.393;;UBA;;Permanent;
8a858e475c127bce015c16382ae853cb;13/06/1976;46;Savings;34.146.652;67.093.124;;GT Bank;;Permanent;
8a858f13556665aa01556d98b4ca0d1d;01/04/1985;37;Other;3.417.987;64.282.577;;GT Bank;;Permanent;
8a858f375b493337015b56c4ef7a4e0c;08/03/1988;34;Savings;85.794.847;77.140.298;;GT Bank;;Permanent;
8a858e69566ae5b801568eb3041a121a;01/01/1963;59;Other;32.839.854;64.686.036;;First Bank;;Permanent;
8a858ec95afc0922015b080cc25e41f8;08/06/1987;35;Savings;34.177.888;64.413.874;;GT Bank;;Permanent;
8a858ede5ca210f0015ca32170645e53;24/09/1990;32;Savings;38.735.767;6.919.185;;GT Bank;;Contract;
8a858f9d5bd44001015bd492e919247f;10/08/1985;37;Savings;75.806.725;90.328.436;;FCMB;;Permanent;
8a85890754145ace015429f1960607e4;07/03/1983;39;Savings;35.050.865;66.055.105;;FCMB;;Permanent;
8a858e345bd96da8015be6289d010075;12/01/1990;32;Savings;33.027.843;64.767.169;;GT Bank;;Permanent;
8a858fa057e2a0a50157f1ffa5f228a0;07/03/1992;30;Savings;7.032.201;61.152.036;;Sterling Bank;;Permanent;Graduate
8a858eab5cf9c4c8015d034b5561731d;21/12/1975;47;Savings;61.733.297;67.352.955;;Diamond Bank;;;
8a858f88578ad68901578bd0502a216a;11/01/1988;34;Other;84.077.658;89.146.505;;Diamond Bank;;Self-Employed;Graduate
8a858f065b1fe50a015b201d16f43102;28/01/1988;34;Savings;3.446.941;64.532.948;;Sterling Bank;;Permanent;
8a858ef45be99ccb015bea1e47041821;09/09/1984;38;Savings;32.573.662;65.102.471;;Access Bank;;Permanent;
8a858fd85507735701551173e8c225b2;27/12/1973;49;Other;33.176.063;64.775.752;;Diamond Bank;;Permanent;
8a85896653f0fed20153f9e6f6f27315;23/05/1992;30;Other;34.703.385;64.467.898;;GT Bank;;Permanent;
8a8589045384bd830153966de1b77ab3;16/10/1981;41;Other;33.119.904;65.064.577;;GT Bank;;Self-Employed;Secondary
